u,v,weight
23904,15440,1.0019
696016,164128,1.0080
92352,52368,1.0089
555328,241472,1.0096
255872,45616,1.0108
107440,6352,1.0129
797216,2416,1.0150
124048,91488,1.0163
721424,723472,1.0163
565424,405728,1.0186
563488,186176,1.0199
513136,722416,1.0199
629136,65584,1.0259
900576,398448,1.0276
281040,731744,1.0281
323104,30016,1.0289
979984,144400,1.0291
818512,256224,1.0330
819856,190784,1.0360
218048,811984,1.0379
117056,804448,1.0388
157936,208480,1.0402
612384,975616,1.0405
267456,119824,1.0417
931120,373472,1.0424
425744,124640,1.0429
428656,17616,1.0444
160144,17504,1.0450
225632,121616,1.0456
48448,21392,1.0461
981840,339792,1.0474
712736,325840,1.0491
365664,63376,1.0497
574512,449504,1.0535
949536,974992,1.0542
739648,300288,1.0547
503248,313104,1.0571
976080,701472,1.0580
252640,765360,1.0584
796784,52736,1.0618
490976,717376,1.0620
833376,678048,1.0626
142016,60368,1.0628
306384,154448,1.0634
412080,352496,1.0645
894448,129952,1.0646
545312,913552,1.0650
658320,523888,1.0653
607136,65120,1.0662
252624,80,1.0667
996560,181808,1.0681
619120,571296,1.0693
840272,916688,1.0714
15696,736240,1.0719
896048,200752,1.0743
349712,136480,1.0748
6224,416,1.0754
419712,214848,1.0757
460928,697072,1.0770
768368,228576,1.0793
615376,550208,1.0796
144000,415824,1.0808
512512,248608,1.0809
948000,694640,1.0815
255696,559072,1.0828
165120,87072,1.0842
728672,590416,1.0852
806224,265648,1.0900
379264,8592,1.0912
889584,521744,1.0913
200736,568656,1.0958
521344,438832,1.0958
234688,392400,1.0966
545456,434320,1.0978
758544,641360,1.0995
967024,185664,1.1019
314816,257616,1.1068
847536,11200,1.1069
26032,564608,1.1085
899104,434992,1.1088
437888,102976,1.1089
270640,692880,1.1129
961504,255296,1.1146
997792,164832,1.1149
738992,386832,1.1164
781568,685968,1.1169
432064,124000,1.1197
711664,918032,1.1198
276928,814560,1.1212
734352,471120,1.1218
167328,63216,1.1229
793360,402896,1.1237
219840,222000,1.1245
10080,640144,1.1253
887760,58432,1.1263
752064,22016,1.1264
206288,98192,1.1269
967264,780576,1.1270
307040,893056,1.1272
591696,237696,1.1281
263088,235936,1.1284
441776,408048,1.1287
677584,150512,1.1292
983328,550096,1.1292
867984,355568,1.1292
156320,146448,1.1308
