workers,nodes,bfs_time,dfs_time,pagerank_time,mst_time,shortest_path_time
1,100000,0.077,0.053,13.274,0.544,0.087
1,200000,0.121,0.097,76.410,1.594,0.471
1,500000,0.404,0.400,608.324,3.360,0.333
1,1000000,0.653,0.633,1536.465,7.207,1.578
2,100000,0.042,0.031,16.989,0.356,0.080
2,200000,0.065,0.055,67.739,0.644,0.136
2,500000,0.142,0.138,430.630,1.934,0.341
2,1000000,0.369,0.300,1783.153,4.083,0.626
3,100000,0.036,0.024,12.354,0.218,0.084
3,200000,0.045,0.046,50.148,0.446,0.141
3,500000,0.111,0.105,317.372,1.335,0.326
3,1000000,0.252,0.209,1298.262,2.852,0.595
4,100000,0.033,0.041,10.268,0.174,0.085
4,200000,0.043,0.038,39.518,0.335,0.135
4,500000,0.108,0.094,252.082,0.959,0.346
4,1000000,0.221,0.211,1021.578,2.153,0.633
5,100000,0.036,0.017,8.694,0.160,0.090
5,200000,0.037,0.035,33.413,0.282,0.138
5,500000,0.089,0.081,216.837,0.782,0.326
5,1000000,0.206,0.179,878.553,1.810,0.682
6,100000,0.030,0.017,7.636,0.140,0.092
6,200000,0.038,0.032,29.114,0.251,0.142
6,500000,0.094,0.073,183.003,0.711,0.363
6,1000000,0.160,0.140,733.619,1.577,0.628
7,100000,0.040,0.016,6.669,0.131,0.104
7,200000,0.040,0.029,25.528,0.226,0.149
7,500000,0.095,0.061,159.298,0.606,0.329
7,1000000,0.154,0.137,652.764,1.373,0.651
8,100000,0.037,0.016,5.958,0.128,0.106
8,200000,0.041,0.028,22.424,0.217,0.151
8,500000,0.086,0.060,135.145,0.546,0.354
8,1000000,0.149,0.130,552.041,1.278,0.647
9,100000,0.034,0.013,5.345,0.127,0.115
9,200000,0.036,0.025,20.369,0.216,0.153
9,500000,0.086,0.053,126.261,0.512,0.361
9,1000000,0.150,0.145,516.818,1.148,0.670
10,100000,0.043,0.014,4.949,0.128,0.105
10,200000,0.036,0.027,18.871,0.200,0.161
10,500000,0.079,0.056,114.718,0.503,0.365
10,1000000,0.160,0.138,473.312,1.096,0.688
11,100000,0.028,0.030,4.559,0.126,0.112
11,200000,0.025,0.027,17.262,0.190,0.156
11,500000,0.074,0.056,104.269,0.458,0.362
11,1000000,0.132,0.123,422.599,1.064,0.685
12,100000,0.039,0.016,4.170,0.121,0.113
12,200000,0.034,0.029,15.686,0.188,0.162
12,500000,0.073,0.055,93.674,0.437,0.362
12,1000000,0.143,0.120,381.016,0.969,0.634
13,100000,0.029,0.022,4.001,0.123,0.131
13,200000,0.039,0.026,15.022,0.190,0.164
13,500000,0.089,0.061,89.412,0.429,0.362
13,1000000,0.128,0.112,364.459,0.923,0.659
14,100000,0.031,0.035,3.844,0.133,0.132
14,200000,0.037,0.028,13.997,0.190,0.166
14,500000,0.079,0.051,83.902,0.405,0.375
14,1000000,0.137,0.105,339.454,0.985,0.673
15,100000,0.032,0.039,3.757,0.134,0.133
15,200000,0.036,0.035,12.994,0.194,0.171
15,500000,0.083,0.068,78.876,0.424,0.372
15,1000000,0.135,0.138,318.695,0.909,0.700
16,100000,0.047,0.014,3.577,0.146,0.132
16,200000,0.039,0.030,11.904,0.194,0.172
16,500000,0.073,0.054,71.450,0.397,0.391
16,1000000,0.135,0.121,285.185,0.849,0.759
